algorithm,size,time
linear_search,100,7.499998901039362e-06
linear_search,500,2.3999993572942913e-05
linear_search,1000,6.570000550709665e-05
linear_search,3000,0.00013600000238511711
linear_search,5000,0.00021090000518597662
linear_search,10000,0.0007056000031298026
linear_search,15000,0.000709100000676699
linear_search,30000,0.001468699992983602
linear_search,50000,0.002270700002554804
linear_search,100000,0.004459600007976405
binary_search,100,1.00000761449337e-06
binary_search,500,1.6999983927235007e-06
binary_search,1000,1.300009898841381e-06
binary_search,3000,1.8999999156221747e-06
binary_search,5000,1.6999983927235007e-06
binary_search,10000,3.1999952625483274e-06
binary_search,15000,1.6999983927235007e-06
binary_search,30000,2.1000014385208488e-06
binary_search,50000,2.1000014385208488e-06
binary_search,100000,2.2000021999701858e-06
sum_elements,100,3.0999945010989904e-06
sum_elements,500,1.5700003132224083e-05
sum_elements,1000,2.9300004825927317e-05
sum_elements,3000,8.699999307282269e-05
sum_elements,5000,0.0001939000067068264
sum_elements,10000,0.0003558000025805086
sum_elements,15000,0.0004707000043708831
sum_elements,30000,0.0008941999985836446
sum_elements,50000,0.0015252000011969358
sum_elements,100000,0.0029609999910462648
merge_sort,100,0.0001275000104214996
merge_sort,500,0.0008668999944347888
merge_sort,1000,0.0021304999972926453
merge_sort,3000,0.006497599999420345
merge_sort,5000,0.010844800010090694
merge_sort,10000,0.023905900001409464
merge_sort,15000,0.03809519999776967
merge_sort,30000,0.07246789999771863
merge_sort,50000,0.1086941000103252
merge_sort,100000,0.22843380000267643
bubble_sort,100,0.00030420000257436186
bubble_sort,500,0.009344400008558296
bubble_sort,1000,0.037872600005357526
bubble_sort,3000,0.3396911000018008
bubble_sort,5000,0.9794559000001755
insertion_sort,100,0.00024810001195874065
insertion_sort,500,0.0038853000005474314
insertion_sort,1000,0.01693610000074841
insertion_sort,3000,0.1698883999924874
insertion_sort,5000,0.4599019000015687
matrix_multiply,5,1.340000017080456e-05
matrix_multiply,10,8.81000014487654e-05
matrix_multiply,20,0.0006373000069288537
matrix_multiply,30,0.0032688999926904216
matrix_multiply,40,0.004531300000962801
fibonacci,1,1.4999968698248267e-06
fibonacci,2,1.7999991541728377e-06
fibonacci,3,1.3999961083754897e-06
fibonacci,4,1.100008375942707e-06
fibonacci,5,1.3999961083754897e-06
fibonacci,6,2.0000006770715117e-06
fibonacci,7,3.0999945010989904e-06
fibonacci,8,4.799992893822491e-06
fibonacci,9,7.800001185387373e-06
fibonacci,10,1.5300000086426735e-05
fibonacci,11,1.479999627918005e-05
fibonacci,12,1.9899991457350552e-05
fibonacci,13,3.37999954354018e-05
fibonacci,14,5.1399998483248055e-05
fibonacci,15,8.169999637175351e-05
fibonacci,16,0.0001258000120287761
fibonacci,17,0.00021290000586304814
fibonacci,18,0.000451300002168864
fibonacci,19,0.0006837000109953806
fibonacci,20,0.0009050000080605969
fibonacci,21,0.0017144999874290079
fibonacci,22,0.002435899994452484
fibonacci,23,0.0039558999997098
fibonacci,24,0.00627159999567084
fibonacci,25,0.010021299996878952
fibonacci,26,0.016510800007381476
fibonacci,27,0.027494099995237775
fibonacci,28,0.03814489999786019
fibonacci,29,0.06295629999658559
fibonacci,30,0.09802910000144038
